month,Azuay,Bolivar,Carchi,Cañar,Chimborazo,Cotopaxi,El Oro,Esmeraldas,Galapagos,Guayas,IMBABURA,Loja,Los Rios,Manabi,Morona Santiago,Napo,Orellana,Pastaza,Pichincha,Santa Elena,Santo Domingo de los Tsachilas,Sucumbios,Tungurahua,Zamora Chinchipe
2016-01-01,0.019417761396186527,0.02975287314739479,0.015760650079214053,0.015080454637977029,0.01589726738622819,0.03557794372876984,0.0168055738642146,0.038997385298351644,0.005881480500290909,0.03796433501907742,0.03141169785608695,0.02677281781033655,0.0535067139017387,0.0342855926642782,0.016618213341339217,0.016414638993814352,0.015958130396354506,0.014712523715816694,0.031516082877835805,0.011265221324663162,0.06171559488648363,0.015988794763699823,0.022206647879914866,0.012081328594016652
2016-02-01,0.02373791243744623,0.0363963697472912,0.01674716336140677,0.023147833723006724,0.02015218470061118,0.025760994985497467,0.02105988106755071,0.03780332164894183,0.007200480484561263,0.04729070210870171,0.02770567431543995,0.033770605096741464,0.06612468827479627,0.030197297637205404,0.03172266435551912,0.020804990777766697,0.030795477133620595,0.030312784986642343,0.026914382019280616,0.01647651648100166,0.04880864910936048,0.026203942395655495,0.03458354865559832,0.02053626647304377
2016-03-01,0.04212526072907141,0.06005726228230242,0.024591862409913335,0.035337609825142696,0.03186069371608484,0.047993290855628104,0.04039193598059993,0.045313337311395224,0.014166279258059255,0.051606619889147595,0.049391254422767,0.04547194022417336,0.07137096573856372,0.03335186837497019,0.02789493030858952,0.02557134375385495,0.04199905067174687,0.034592072561089655,0.04735735330064225,0.01688695868229753,0.06959755781128964,0.03577056070429438,0.050954304654519764,0.024885090956844977
2016-04-01,0.033522758538705344,0.05385241332509031,0.029866777690537874,0.029002711849912176,0.03383833700684188,0.042671954931015665,0.024778125322686625,0.03868249218070642,0.003132321955004336,0.045441028933691646,0.05920883048849071,0.030754207075065307,0.07261118213232098,0.02272841633144083,0.02918825622866681,0.03512947690232696,0.04337049124602174,0.03314094577835199,0.05101149290671206,0.012216382033798419,0.04496410699804969,0.043296766859131315,0.06642311828192053,0.015499138566460456
2016-05-01,0.012733983747934505,0.030739011816229005,0.01586165942588703,0.011022306826723251,0.01514592456503806,0.024231121283660992,0.005451357393701312,0.02896809716981872,0.0007209841486289916,0.012789241431094113,0.03190739789930202,0.008014859252751326,0.03196164091565197,0.009954347001113074,0.017737100159137566,0.01437063620363819,0.022877854244504083,0.022117998122181924,0.02853266218584,0.0012323090260592908,0.03542365499878882,0.0201329364985096,0.03188056357391385,0.009677193059814257
2016-06-01,0.015529503028416011,0.017484278245075296,0.01183308835283179,0.010615838539632222,0.01645979183322701,0.014756301443802994,0.005297917249540254,0.01575170302604658,0.00039385000148424004,0.004798842031876724,0.02132744983382754,0.006681611757086344,0.016814597866570958,0.0037975096014947235,0.023417277142859936,0.0202637013227525,0.030177639954197213,0.02983384152632914,0.017761097499076225,0.0007067164105358024,0.015292358482688466,0.025152938099745992,0.03627036917982788,0.012673567301480261
2016-07-01,0.005003654331147926,0.013865296381010027,0.009353350265487347,0.00443759095564632,0.008891333527514797,0.010235912627833991,0.0011455551530409106,0.012735409503463196,0.0002517378057453565,0.005371769278426667,0.01815654963688549,0.0016188805536410012,0.018721659091332502,0.002990006783448638,0.011285292224785373,0.009441176678069266,0.012286150661519286,0.01111891694167417,0.014743461709575613,0.0009521471886817061,0.01400060420355905,0.009778226738784375,0.022301891228492386,0.0048846055394312134
2016-08-01,0.004546472775087024,0.004954601722752535,0.00617675923042587,0.002093107207584109,0.004827600929612452,0.006983040311184105,0.0007000717165844729,0.008374446463774589,0.00031111463459085396,0.0012787519794144142,0.01022756574367628,0.000986635194245641,0.008898338986824125,0.0012733233966142783,0.015446952571844943,0.005861644642002202,0.010224031688772112,0.01156888496998347,0.008701695998106631,0.000189412741766564,0.008546270313965142,0.008353793114126392,0.01421562920487071,0.005548508425629658
2016-09-01,0.007715068975287018,0.01850546390971538,0.012717992091475793,0.007020463973516195,0.011723089975836806,0.015350221580044232,0.003009640868679128,0.015124298267453038,0.0005371853675002535,0.0037320272128013986,0.02451877445401008,0.003988390268104091,0.016766857846502295,0.003089853659237023,0.01911756994634359,0.013591151772412637,0.02331873041196964,0.017375926748581436,0.02094647620323691,0.0005851352889276591,0.016159374135487934,0.019207661742399487,0.02417022505555288,0.007713317423104196
2016-10-01,0.011912230751865678,0.01218782261954504,0.014518284948303385,0.009838404294952113,0.015292394303207453,0.019254597193835817,0.004338156421163384,0.00842670382697541,0.00013901463456815645,0.0007094017954480865,0.028743180357678165,0.005372317068350838,0.002643095089403136,0.0005464050108677731,0.01641233967046889,0.021349361308724918,0.015816494179717536,0.014904893889550722,0.019221367185070268,0.0001020798143555289,0.00626710343478546,0.015932291560784545,0.03007049635524017,0.008127024279306998
