datetime,flow_max_m^3/s,flow_75%_m^3/s,flow_avg_m^3/s,flow_25%_m^3/s,flow_min_m^3/s,high_res_m^3/s
2023-10-14 04:00:00+00:00,,,,,,76.1059
2023-10-14 05:00:00+00:00,,,,,,76.08905
2023-10-14 06:00:00+00:00,76.23967,76.10080337524414,76.09104,76.07994842529297,75.999794,76.07691
2023-10-14 07:00:00+00:00,,,,,,76.07096
2023-10-14 08:00:00+00:00,,,,,,76.07247
2023-10-14 09:00:00+00:00,76.31748,76.08089447021484,76.07479,76.05968856811523,75.99743,76.08251
2023-10-14 10:00:00+00:00,,,,,,76.101875
2023-10-14 11:00:00+00:00,,,,,,76.131134
2023-10-14 12:00:00+00:00,76.49645,76.14548110961914,76.13463,76.11146926879883,76.05431,76.170616
2023-10-14 13:00:00+00:00,,,,,,76.22043
2023-10-14 14:00:00+00:00,,,,,,76.28045
2023-10-14 15:00:00+00:00,76.75666,76.31998062133789,76.29055,76.25383377075195,76.10589,76.3504
2023-10-14 16:00:00+00:00,,,,,,76.42981
2023-10-14 17:00:00+00:00,,,,,,76.51808
2023-10-14 18:00:00+00:00,77.113976,76.59516525268555,76.54592,76.48749542236328,76.26163,76.61447
2023-10-14 21:00:00+00:00,77.54963,76.94738006591797,76.88972,76.81659698486328,76.5645,76.76084
2023-10-15 00:00:00+00:00,78.03975,77.31860733032227,77.2906,77.20893478393555,76.999756,77.10828
2023-10-15 03:00:00+00:00,79.91476,77.70671844482422,77.73996,77.5976676940918,77.37123,77.4736
2023-10-15 06:00:00+00:00,82.40566,78.12700271606445,78.16584,77.90814208984375,77.8199,77.81617
2023-10-15 09:00:00+00:00,82.069275,78.51908111572266,78.47543,78.09676742553711,77.89704,78.08992
2023-10-15 12:00:00+00:00,81.85789,78.93500900268555,78.68531,78.09461975097656,77.75891,78.25025
2023-10-15 15:00:00+00:00,82.747,79.42253494262695,78.7606,77.91014862060547,77.383965,78.27071
2023-10-15 18:00:00+00:00,84.077415,79.6342887878418,78.72063,77.59381484985352,76.840385,78.14948
2023-10-15 21:00:00+00:00,85.33818,79.68087768554688,78.59455,77.16497802734375,76.178276,77.91073
2023-10-16 00:00:00+00:00,86.57461,79.6523551940918,78.42344,76.72530364990234,75.45604,77.59781
2023-10-16 03:00:00+00:00,87.771614,79.60992431640625,78.248955,76.38925170898438,74.71271,77.26568
2023-10-16 06:00:00+00:00,88.85616,79.74981689453125,78.155525,76.07059097290039,73.9931,76.987206
2023-10-16 09:00:00+00:00,89.54304,80.07004928588867,78.108864,75.84662246704102,73.34186,76.807816
2023-10-16 12:00:00+00:00,89.66225,80.1786880493164,78.04441,75.58280563354492,72.701965,76.74616
2023-10-16 15:00:00+00:00,89.54847,80.25702667236328,78.09161,75.33969116210938,71.985,76.786606
2023-10-16 18:00:00+00:00,95.189255,80.26567840576172,78.243904,75.23770523071289,71.30364,76.872284
2023-10-16 21:00:00+00:00,101.596,80.59322738647461,78.49321,74.97703170776367,70.64502,77.00025
2023-10-17 00:00:00+00:00,108.49874,80.8878402709961,78.85733,74.95177459716797,69.99465,77.20609
2023-10-17 06:00:00+00:00,115.222,81.37542343139648,79.333145,74.85747146606445,69.36011,77.52755
2023-10-17 12:00:00+00:00,128.36221,83.33879089355469,80.82016,74.5177230834961,68.07436,78.5481
2023-10-17 18:00:00+00:00,139.61902,85.13492584228516,83.01942,75.36444473266602,66.6692,80.18314
2023-10-18 00:00:00+00:00,149.57556,88.16896057128906,85.59553,76.26117706298828,64.69446,82.40609
2023-10-18 06:00:00+00:00,173.90073,90.1090316772461,88.1377,75.41513442993164,62.461033,84.96364
2023-10-18 12:00:00+00:00,197.24355,91.72452163696288,90.52992,75.62547302246094,61.38674,87.60417
2023-10-18 18:00:00+00:00,219.0743,93.6385612487793,93.58559,76.45368576049805,62.642796,90.13895
2023-10-19 00:00:00+00:00,240.6436,98.04723358154295,96.814,77.19139862060547,62.367287,92.424225
2023-10-19 06:00:00+00:00,259.07205,102.53739547729492,99.58035,77.99676513671875,60.91586,94.348274
2023-10-19 12:00:00+00:00,276.65686,107.60068130493164,102.63149,78.43975448608398,59.562485,95.80742
2023-10-19 18:00:00+00:00,292.79688,111.1599349975586,106.131424,79.14615631103516,57.62805,96.81027
2023-10-20 00:00:00+00:00,310.09305,113.94486236572266,110.093925,80.89486312866211,55.38261,97.51149
2023-10-20 06:00:00+00:00,326.67123,118.32714462280272,115.308586,81.2708625793457,53.35326,98.09777
2023-10-20 12:00:00+00:00,370.14597,129.07533264160156,122.34499,78.92830657958984,51.772003,98.445946
2023-10-20 18:00:00+00:00,424.74808,139.42887115478516,130.47217,80.59402084350586,50.7536,98.03499
2023-10-21 00:00:00+00:00,503.14935,149.80426788330078,138.57957,81.30572509765625,50.22626,96.431
2023-10-21 06:00:00+00:00,562.7912,155.71956634521484,146.4319,83.59429931640625,49.975117,
2023-10-21 12:00:00+00:00,596.46136,167.96888732910156,154.1316,87.02428817749023,49.659782,
2023-10-21 18:00:00+00:00,602.1866,182.33910369873047,161.22327,90.59783554077148,49.15114,
2023-10-22 00:00:00+00:00,590.4322,195.1827774047852,167.27289,94.54736328125,48.99633,
2023-10-22 06:00:00+00:00,593.7514,206.3697662353516,173.16675,98.81707000732422,49.887974,
2023-10-22 12:00:00+00:00,586.0822,214.14401245117188,180.0783,101.45428085327148,50.663006,
2023-10-22 18:00:00+00:00,568.4096,216.90809631347656,187.65758,106.8635139465332,50.62191,
2023-10-23 00:00:00+00:00,571.4332,222.40287017822263,195.30722,112.83730697631836,50.897057,
2023-10-23 06:00:00+00:00,579.7006,248.8071746826172,203.55595,108.42079544067384,51.883118,
2023-10-23 12:00:00+00:00,581.4683,281.19110107421875,213.0226,109.2965316772461,54.15601,
