datetime,ensemble_01_m^3/s,ensemble_10_m^3/s,ensemble_11_m^3/s,ensemble_12_m^3/s,ensemble_13_m^3/s,ensemble_14_m^3/s,ensemble_15_m^3/s,ensemble_16_m^3/s,ensemble_17_m^3/s,ensemble_18_m^3/s,ensemble_19_m^3/s,ensemble_02_m^3/s,ensemble_20_m^3/s,ensemble_21_m^3/s,ensemble_22_m^3/s,ensemble_23_m^3/s,ensemble_24_m^3/s,ensemble_25_m^3/s,ensemble_26_m^3/s,ensemble_27_m^3/s,ensemble_28_m^3/s,ensemble_29_m^3/s,ensemble_03_m^3/s,ensemble_30_m^3/s,ensemble_31_m^3/s,ensemble_32_m^3/s,ensemble_33_m^3/s,ensemble_34_m^3/s,ensemble_35_m^3/s,ensemble_36_m^3/s,ensemble_37_m^3/s,ensemble_38_m^3/s,ensemble_39_m^3/s,ensemble_04_m^3/s,ensemble_40_m^3/s,ensemble_41_m^3/s,ensemble_42_m^3/s,ensemble_43_m^3/s,ensemble_44_m^3/s,ensemble_45_m^3/s,ensemble_46_m^3/s,ensemble_47_m^3/s,ensemble_48_m^3/s,ensemble_49_m^3/s,ensemble_05_m^3/s,ensemble_50_m^3/s,ensemble_51_m^3/s,ensemble_52_m^3/s,ensemble_06_m^3/s,ensemble_07_m^3/s,ensemble_08_m^3/s,ensemble_09_m^3/s
2023-10-31 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.11825,,,,
2023-10-31 18:00:00+00:00,146.59056,154.34634,123.45856,190.14784,157.65805,143.31189,133.14473,140.5235,167.33806,164.99316,172.21974,96.473495,127.06956,102.606094,143.19626,159.82314,131.29648,33.00367,142.64865,38.948547,152.58954,193.47261,152.12053,42.714233,181.83328,136.45323,160.05986,63.923237,135.57909,119.98691,79.038,74.38198,137.87547,53.333027,92.15231,176.34497,36.73777,155.18135,166.71982,96.841995,101.22977,111.377,39.70665,71.28348,89.06109,174.21422,83.82936,82.84326,33.141796,53.337917,139.0063,44.677994
2023-10-31 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.54578,,,,
2023-10-31 20:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.23972,,,,
2023-10-31 21:00:00+00:00,127.59164,133.94006,107.54876,162.80542,136.44025,124.69727,116.35214,122.70308,144.51965,143.17535,148.5652,85.06569,111.852165,90.88052,124.39004,138.3331,114.76904,27.57596,124.62604,34.037914,132.2989,165.53177,130.82082,38.009193,156.1385,119.16255,138.35936,55.723717,116.94437,105.38004,70.24317,66.80907,120.19047,46.908867,83.42202,151.62297,31.609688,134.59407,144.51482,85.25716,91.52767,99.70422,34.807137,64.713905,79.16676,149.94121,80.09734,78.93563,27.737303,49.28634,121.123825,40.198215
2023-10-31 22:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.651245,,,,
2023-10-31 23:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.39616,,,,
2023-11-01 00:00:00+00:00,111.76566,116.93848,94.301506,140.11375,118.71629,109.07598,102.225624,107.786575,125.47921,124.91776,128.8852,75.586494,99.021225,81.0612,108.74051,120.426155,100.845894,23.249874,109.57636,30.123487,115.30867,142.36012,113.13901,34.209896,134.77817,104.61105,120.23735,49.02523,101.50312,93.19893,62.897736,60.486217,105.32369,41.633507,76.01766,131.0577,27.513906,117.3788,125.93536,75.602745,83.307785,89.790405,30.882917,59.187138,70.94986,129.74463,76.39628,75.170685,23.434229,45.916,106.10994,36.593998
2023-11-01 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9784,,,,
2023-11-01 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.81721,,,,
2023-11-01 03:00:00+00:00,98.66036,102.86941,83.32164,121.38368,103.997086,96.06249,90.418816,95.36125,109.698586,109.74058,112.61858,67.75387,88.2817,72.91133,95.79144,105.58426,89.2019,19.81037,97.0961,27.007353,101.18796,123.245445,98.54694,31.152205,117.12078,92.45113,105.198364,43.58337,88.77094,83.10613,56.81535,55.247242,92.91522,37.337296,69.806725,114.04757,24.252327,103.03214,110.493324,67.61239,76.39186,81.45893,27.74057,54.58989,64.18031,113.02495,72.92976,71.68538,20.003666,43.14856,93.584816,33.704082
2023-11-01 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.58205,,,,
2023-11-01 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.50703,,,,
2023-11-01 06:00:00+00:00,87.82505,91.24085,74.230034,105.93808,91.78955,85.2292,80.55658,85.02226,96.62819,97.1286,99.1785,61.288845,79.30896,66.15114,85.09049,93.3034,79.47852,17.078318,86.75239,24.53084,89.46348,107.48259,86.51324,28.695261,102.54083,82.30194,92.72538,39.161015,78.285,74.76254,51.78185,50.91209,82.574036,33.83841,64.60437,99.98775,21.652084,91.11302,97.668785,61.013138,70.58895,74.45949,25.228264,50.76746,58.597084,99.194916,69.720116,68.46356,17.270151,40.872513,83.14686,31.389975
2023-11-01 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4439,,,,
2023-11-01 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.44999,,,,
2023-11-01 09:00:00+00:00,78.848885,81.608116,66.68469,93.1843,81.63807,76.200134,72.3041,76.40455,85.77274,86.62762,88.04653,55.937267,71.791016,60.524765,76.22532,83.11258,71.339714,14.907401,78.162224,22.568432,79.70857,94.466194,76.577225,26.71099,90.484924,73.81527,82.36211,35.56134,69.90924,67.8377,47.607903,47.30422,73.938995,30.977545,60.221146,88.33584,19.586529,81.186676,87.00239,55.5534,65.69736,68.55047,23.226334,47.575623,53.98336,87.73188,66.74725,65.48252,15.093462,38.996258,74.43297,29.532497
2023-11-01 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.537704,,,,
2023-11-01 11:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.617596,,,,
2023-11-01 12:00:00+00:00,71.37542,73.5999,60.406773,82.620476,73.16898,68.64575,65.38265,69.19782,76.74059,77.85711,78.8047,51.490635,65.46678,55.824833,68.85169,74.634125,64.51614,13.197572,71.00163,21.004799,71.5725,83.70031,68.35129,25.10369,80.48136,66.69622,73.72614,32.62169,86.77497,62.063347,44.13742,44.280403,66.695526,28.642294,56.499645,78.66727,17.947208,72.90308,78.10468,51.009888,61.55379,63.541122,21.61894,44.903564,50.15268,78.21272,63.986244,62.71395,13.372172,37.438526,67.17905,28.039387
2023-11-01 13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.82736,,,,
2023-11-01 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.957005,,,,
2023-11-01 15:00:00+00:00,65.0937,66.88918,55.152817,73.82826,66.07522,62.273857,59.547024,63.133938,69.16728,70.47009,71.071884,47.759087,60.158802,51.849,62.677677,67.550125,58.742867,11.845237,64.97398,19.75632,64.80028,74.76146,61.495827,23.793386,72.121185,60.69835,66.483864,30.214577,102.05717,57.21875,41.209476,41.721375,60.59634,26.734713,53.294044,70.60049,16.641891,65.95997,70.631065,47.20076,57.99324,59.233807,20.334822,42.624325,46.92596,70.27513,61.377163,60.08728,12.016563,36.106304,61.067303,26.823874
2023-11-01 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.218506,,,,
2023-11-01 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.350426,,,,
2023-11-01 18:00:00+00:00,59.733982,61.220913,50.68878,66.44367,60.088093,56.837593,54.594322,57.96137,62.733128,64.17173,64.52054,44.56024,55.693363,48.45701,57.467262,61.60939,53.79186,10.772144,59.870274,18.758717,59.071136,67.31192,55.71223,22.705128,65.073296,55.59978,60.38086,28.265217,88.00726,53.07314,38.688484,39.498905,55.399685,25.47007,50.46592,63.862534,15.597952,60.9526,64.285736,43.958637,54.86528,55.510674,19.373264,40.616875,44.158024,63.59172,58.883987,57.49747,10.948568,34.924892,55.843384,25.802015
2023-11-01 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.660645,,,,
2023-11-01 20:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.83227,,,,
2023-11-01 21:00:00+00:00,55.108547,59.71968,46.903877,60.220043,54.958447,52.155304,50.394363,53.489162,57.23212,58.778492,59.0345,43.364185,52.86726,48.647545,53.736477,71.21797,49.83136,9.902289,55.607098,17.938576,54.134098,61.767906,50.794086,21.877493,59.071556,51.276375,55.187405,26.686352,79.1958,49.546627,36.496723,37.518856,51.724285,24.779667,47.918118,58.339325,18.090534,56.70634,60.32354,41.328827,52.458817,52.52337,18.578024,38.839573,41.847057,57.976562,56.44238,55.019123,11.228206,33.840286,51.378304,24.907982
