rivid,classification,strmOrder
110167625,normal range,2
110373609,normal range,2
110356553,normal range,2
110357865,normal range,2
110187305,normal range,2
110374921,normal range,2
110209609,normal range,2
110351306,wet,2
110402474,extremely wet,2
110021994,wet,2
110353930,normal range,2
110369674,normal range,2
110040362,normal range,2
110319818,normal range,2
110356554,dry,2
110057418,normal range,2
110065290,normal range,2
110470698,normal range,2
110071850,normal range,2
110321130,normal range,2
110323754,normal range,2
110329002,normal range,2
110107274,normal range,2
110330314,normal range,2
110331626,normal range,2
110378858,normal range,2
110380170,wet,2
110357866,wet,2
110128266,wet,2
110136138,normal range,2
110332938,normal range,2
110153194,normal range,2
110163690,normal range,2
110334250,normal range,2
110335562,normal range,2
110339498,normal range,2
110196490,wet,2
110340810,extremely wet,2
110209610,extremely wet,2
110314570,normal range,2
110370987,normal range,2
110440523,dry,2
110287019,normal range,2
110019371,normal range,2
110025931,normal range,2
110289643,normal range,2
110290955,normal range,2
110033803,normal range,2
110045611,normal range,2
110292267,normal range,2
110065291,normal range,2
110329003,normal range,2
110079723,normal range,2
110083659,normal range,2
110296203,normal range,2
110091531,wet,2
110297515,wet,2
110105963,wet,2
110111211,wet,2
110298827,normal range,2
110300139,normal range,2
110302763,normal range,2
110123019,normal range,2
110305387,normal range,2
110133515,normal range,2
110347371,normal range,2
110390667,normal range,2
110306699,normal range,2
110145323,normal range,2
110161067,wet,2
110381483,extremely wet,2
110309323,extremely wet,2
110170251,normal range,2
110310635,normal range,2
110349995,normal range,2
110196491,normal range,2
110348683,normal range,2
110200427,normal range,2
110314571,normal range,2
110004940,normal range,2
110359180,normal range,2
110332940,normal range,2
110031180,normal range,2
110360492,normal range,2
110335564,wet,2
110058732,normal range,2
110069228,wet,2
110077100,normal range,2
110409036,normal range,2
110363116,normal range,2
110433964,normal range,2
110092844,normal range,2
110105964,normal range,2
110121708,normal range,2
110125644,normal range,2
110338188,normal range,2
110339500,normal range,2
110340812,extremely wet,2
110158444,wet,2
110364428,normal range,2
110437900,normal range,2
110175500,normal range,2
110344748,normal range,2
110452332,normal range,2
110439212,normal range,2
110195180,normal range,2
110346060,normal range,2
110410348,normal range,2
110376236,normal range,2
110321132,normal range,2
110356556,normal range,2
110004941,normal range,2
110353933,normal range,2
110020685,normal range,2
110027245,normal range,2
110277837,wet,2
110036429,normal range,2
110279149,normal range,2
110283085,normal range,2
110330317,normal range,2
110044301,normal range,2
110054797,normal range,2
110331629,normal range,2
110318509,normal range,2
110370989,normal range,2
110372301,normal range,2
110289645,normal range,2
110290957,normal range,2
110319821,extremely wet,2
110144013,normal range,2
110153197,normal range,2
110293581,dry,2
110294893,normal range,2
110296205,normal range,2
110298829,normal range,2
110301453,normal range,2
110266029,normal range,2
110269965,normal range,2
110431341,normal range,2
110339502,normal range,2
110290958,normal range,2
110019374,normal range,2
110292270,normal range,2
110032494,normal range,2
110039054,normal range,2
110306702,normal range,2
110308014,normal range,2
110044302,wet,2
110048238,normal range,2
110293582,normal range,2
110310638,normal range,2
110065294,normal range,2
110296206,normal range,2
110294894,normal range,2
110314574,normal range,2
110099406,normal range,2
110109902,normal range,2
110117774,normal range,2
110136142,normal range,2
110147950,normal range,2
110157134,normal range,2
110298830,normal range,2
110171566,normal range,2
110176814,normal range,2
110300142,normal range,2
110360494,normal range,2
110433966,normal range,2
110283086,normal range,2
110288334,normal range,2
110351310,normal range,2
110353935,wet,2
110011503,wet,2
110356559,normal range,2
110300143,normal range,2
110283087,normal range,2
110024623,normal range,2
110033807,normal range,2
110285711,normal range,2
110287023,normal range,2
110050863,normal range,2
110060047,normal range,2
110288335,normal range,2
110077103,extremely wet,2
110310639,extremely wet,2
110091535,wet,2
110289647,wet,2
110314575,normal range,2
110290959,normal range,2
110319823,normal range,2
110123023,normal range,2
110130895,normal range,2
110138767,normal range,2
110322447,normal range,2
110149263,normal range,2
110344751,normal range,2
110294895,normal range,2
110378863,normal range,2
110296207,normal range,2
110323759,normal range,2
110267343,normal range,2
110318512,normal range,2
110008880,normal range,2
110319824,normal range,2
110306704,normal range,2
110308016,wet,2
110347376,wet,2
110052176,wet,2
110310640,normal range,2
110073168,normal range,2
110077104,normal range,2
110084976,normal range,2
110360496,dry,2
110311952,normal range,2
110323760,normal range,2
110112528,normal range,2
110124336,normal range,2
110149264,normal range,2
110331632,normal range,2
110335568,normal range,2
110336880,normal range,2
110170256,normal range,2
110317200,normal range,2
110395920,normal range,2
110182064,normal range,2
110186000,normal range,2
110191248,normal range,2
110196496,normal range,2
110284400,normal range,2
110301456,normal range,2
110401169,normal range,2
110015441,normal range,2
110023313,wet,2
110391985,normal range,2
110304081,normal range,2
110306705,normal range,2
110041681,normal range,2
110309329,normal range,2
110056113,normal range,2
110317201,normal range,2
110313265,normal range,2
110315889,normal range,2
110082353,normal range,2
110346065,normal range,2
110347377,normal range,2
110103345,normal range,2
110350001,normal range,2
110351313,normal range,2
110124337,normal range,2
110130897,normal range,2
110319825,wet,2
110352625,extremely wet,2
110204369,wet,2
110360497,wet,2
110384113,extremely wet,2
110363121,normal range,2
110336881,normal range,2
110297522,normal range,2
110015442,normal range,2
110298834,normal range,2
110033810,normal range,2
110040370,normal range,2
110332946,normal range,2
110057426,normal range,2
110305394,normal range,2
110066610,normal range,2
110308018,normal range,2
110077106,normal range,2
110334258,wet,2
110309330,normal range,2
110335570,normal range,2
110336882,normal range,2
110410354,wet,2
110435282,normal range,2
110310642,normal range,2
110311954,normal range,2
110338194,normal range,2
110314578,normal range,2
110123026,normal range,2
