datetime,flow_max_m^3/s,flow_75%_m^3/s,flow_avg_m^3/s,flow_25%_m^3/s,flow_min_m^3/s,high_res_m^3/s
2023-11-20 04:00:00+00:00,,,,,,812.1955
2023-11-20 05:00:00+00:00,,,,,,813.9577
2023-11-20 06:00:00+00:00,1370.3339,881.5461120605469,809.55707,700.1868896484375,560.3619,815.4931
2023-11-20 07:00:00+00:00,,,,,,816.5248
2023-11-20 08:00:00+00:00,,,,,,816.9135
2023-11-20 09:00:00+00:00,1401.7252,887.8270568847656,812.0513,703.9673156738281,555.9948,816.60254
2023-11-20 10:00:00+00:00,,,,,,815.5496
2023-11-20 11:00:00+00:00,,,,,,813.89685
2023-11-20 12:00:00+00:00,1520.691,896.0640258789062,814.7987,697.6700134277344,541.3943,811.7788
2023-11-20 13:00:00+00:00,,,,,,808.8846
2023-11-20 14:00:00+00:00,,,,,,806.8018
2023-11-20 15:00:00+00:00,1838.9536,892.0988464355469,817.95496,692.2951354980469,529.4716,802.1296
2023-11-20 16:00:00+00:00,,,,,,799.23413
2023-11-20 17:00:00+00:00,,,,,,794.8981
2023-11-20 18:00:00+00:00,2103.5383,880.7857666015625,821.9652,690.0806274414062,523.96814,793.939
2023-11-20 21:00:00+00:00,2319.453,887.1905822753906,824.8094,685.9532775878906,516.67584,803.6632
2023-11-21 00:00:00+00:00,2445.3457,892.877197265625,825.33527,673.1454772949219,509.5972,820.56006
2023-11-21 03:00:00+00:00,2483.0898,895.2619018554688,822.6039,660.053955078125,502.40652,823.38245
2023-11-21 06:00:00+00:00,2463.4832,895.1704406738281,820.2842,648.2498474121094,494.44745,830.3637
2023-11-21 09:00:00+00:00,2419.0552,903.6635131835938,819.3862,640.353271484375,488.50876,841.35034
2023-11-21 12:00:00+00:00,2377.723,903.4956665039062,818.38885,632.7908630371094,483.85837,846.8926
2023-11-21 15:00:00+00:00,2336.4612,916.0726318359376,816.8546,622.3827514648438,477.5553,844.25305
2023-11-21 18:00:00+00:00,2286.2556,935.3854064941406,817.82574,613.5667419433594,459.79993,845.509
2023-11-21 21:00:00+00:00,2237.2742,958.7999572753906,823.33,621.2294921875,445.79214,841.6523
2023-11-22 00:00:00+00:00,2199.8,964.8812561035156,831.3831,637.35400390625,435.2274,843.1435
2023-11-22 03:00:00+00:00,2140.8552,987.357177734375,836.92,647.5906372070312,427.5895,849.0109
2023-11-22 06:00:00+00:00,2069.8125,992.7107543945312,842.7447,649.7471008300781,420.1625,848.343
2023-11-22 09:00:00+00:00,2002.4636,994.6493530273438,850.49915,648.9205932617188,412.59113,918.62524
2023-11-22 12:00:00+00:00,1939.7291,1008.076202392578,854.6662,653.1651306152344,406.05792,981.3363
2023-11-22 15:00:00+00:00,1879.2811,1010.0906982421876,858.32385,645.2398986816406,399.79776,1004.2151
2023-11-22 18:00:00+00:00,1823.7484,1004.29736328125,869.54877,636.070068359375,398.0638,1020.4064
2023-11-22 21:00:00+00:00,1915.7063,1022.0813598632812,881.85815,640.1833190917969,403.83478,1044.0548
2023-11-23 00:00:00+00:00,2089.872,1007.3756103515624,890.79803,649.7504272460938,402.7717,1041.2849
2023-11-23 06:00:00+00:00,2177.795,995.3303527832032,895.91516,659.1470336914062,400.04517,1022.6993
