datetime,streamflow_m^3/s
1979-05-04 00:00:00+00:00,5735.609
1979-05-05 00:00:00+00:00,5720.73
1979-05-06 00:00:00+00:00,5743.477
1979-05-07 00:00:00+00:00,5749.313
1979-05-08 00:00:00+00:00,5775.026
1979-05-09 00:00:00+00:00,5749.9067
1979-05-10 00:00:00+00:00,5558.6606
1979-05-11 00:00:00+00:00,5196.0244
1979-05-12 00:00:00+00:00,4801.662
1979-05-13 00:00:00+00:00,4456.3306
1979-05-14 00:00:00+00:00,4147.9653
1979-05-15 00:00:00+00:00,3876.2288
1979-05-16 00:00:00+00:00,3654.1287
1979-05-17 00:00:00+00:00,3475.752
1979-05-18 00:00:00+00:00,3323.1248
1979-05-19 00:00:00+00:00,3182.1804
1979-05-20 00:00:00+00:00,3049.165
1979-05-21 00:00:00+00:00,2924.62
1979-05-22 00:00:00+00:00,2807.3792
1979-05-23 00:00:00+00:00,2695.4512
1979-05-24 00:00:00+00:00,2591.9863
1979-05-25 00:00:00+00:00,2505.2363
1979-05-26 00:00:00+00:00,2439.495
1979-05-27 00:00:00+00:00,2395.267
1979-05-28 00:00:00+00:00,2350.728
1979-05-29 00:00:00+00:00,2316.9705
1979-05-30 00:00:00+00:00,2301.595
1979-05-31 00:00:00+00:00,2283.1584
1979-06-01 00:00:00+00:00,2226.6013
1979-06-02 00:00:00+00:00,2121.1057
1979-06-03 00:00:00+00:00,2012.1078
1979-06-04 00:00:00+00:00,1928.1196
1979-06-05 00:00:00+00:00,1892.8762
1979-06-06 00:00:00+00:00,1922.4265
1979-06-07 00:00:00+00:00,1934.6859
1979-06-08 00:00:00+00:00,1879.3463
1979-06-09 00:00:00+00:00,1775.2485
1979-06-10 00:00:00+00:00,1650.4965
1979-06-11 00:00:00+00:00,1545.0603
1979-06-12 00:00:00+00:00,1474.9115
1979-06-13 00:00:00+00:00,1435.428
1979-06-14 00:00:00+00:00,1407.6682
1979-06-15 00:00:00+00:00,1373.7069
1979-06-16 00:00:00+00:00,1329.3167
1979-06-17 00:00:00+00:00,1286.2548
1979-06-18 00:00:00+00:00,1253.8707
1979-06-19 00:00:00+00:00,1232.1069
1979-06-20 00:00:00+00:00,1212.9229
1979-06-21 00:00:00+00:00,1184.0918
1979-06-22 00:00:00+00:00,1147.3528
1979-06-23 00:00:00+00:00,1110.6818
1979-06-24 00:00:00+00:00,1079.0621
1979-06-25 00:00:00+00:00,1052.56
1979-06-26 00:00:00+00:00,1027.2758
1979-06-27 00:00:00+00:00,1001.3746
1979-06-28 00:00:00+00:00,975.91156
1979-06-29 00:00:00+00:00,952.10175
1979-06-30 00:00:00+00:00,929.8288
1979-07-01 00:00:00+00:00,908.1102
1979-07-02 00:00:00+00:00,886.6079
1979-07-03 00:00:00+00:00,865.8404
1979-07-04 00:00:00+00:00,845.6342
1979-07-05 00:00:00+00:00,825.3914
1979-07-06 00:00:00+00:00,805.57764
1979-07-07 00:00:00+00:00,786.72034
1979-07-08 00:00:00+00:00,769.13513
1979-07-09 00:00:00+00:00,752.773
1979-07-10 00:00:00+00:00,738.54913
1979-07-11 00:00:00+00:00,726.4817
1979-07-12 00:00:00+00:00,718.0844
1979-07-13 00:00:00+00:00,711.46423
1979-07-14 00:00:00+00:00,704.34845
1979-07-15 00:00:00+00:00,691.99994
1979-07-16 00:00:00+00:00,675.1445
1979-07-17 00:00:00+00:00,657.8794
1979-07-18 00:00:00+00:00,641.2079
1979-07-19 00:00:00+00:00,626.2362
1979-07-20 00:00:00+00:00,612.80035
1979-07-21 00:00:00+00:00,600.25916
1979-07-22 00:00:00+00:00,589.87067
1979-07-23 00:00:00+00:00,581.50586
1979-07-24 00:00:00+00:00,572.5894
1979-07-25 00:00:00+00:00,562.7175
1979-07-26 00:00:00+00:00,551.82587
1979-07-27 00:00:00+00:00,540.5891
1979-07-28 00:00:00+00:00,529.36035
1979-07-29 00:00:00+00:00,517.1716
1979-07-30 00:00:00+00:00,505.17447
1979-07-31 00:00:00+00:00,494.26422
1979-08-01 00:00:00+00:00,484.22385
1979-08-02 00:00:00+00:00,474.67792
1979-08-03 00:00:00+00:00,465.24286
1979-08-04 00:00:00+00:00,456.0728
1979-08-05 00:00:00+00:00,448.07758
1979-08-06 00:00:00+00:00,441.40027
1979-08-07 00:00:00+00:00,434.24652
1979-08-08 00:00:00+00:00,426.29633
1979-08-09 00:00:00+00:00,418.2391
1979-08-10 00:00:00+00:00,409.91403
1979-08-11 00:00:00+00:00,401.63126
1979-08-12 00:00:00+00:00,393.99576
1979-08-13 00:00:00+00:00,388.5914
1979-08-14 00:00:00+00:00,386.63995
1979-08-15 00:00:00+00:00,387.08478
1979-08-16 00:00:00+00:00,384.6211
1979-08-17 00:00:00+00:00,376.68488
1979-08-18 00:00:00+00:00,367.32828
1979-08-19 00:00:00+00:00,361.82913
1979-08-20 00:00:00+00:00,359.54016
1979-08-21 00:00:00+00:00,356.91418
1979-08-22 00:00:00+00:00,354.65854
1979-08-23 00:00:00+00:00,356.8935
1979-08-24 00:00:00+00:00,361.3288
1979-08-25 00:00:00+00:00,362.69266
1979-08-26 00:00:00+00:00,361.52567
1979-08-27 00:00:00+00:00,353.45435
1979-08-28 00:00:00+00:00,338.0436
1979-08-29 00:00:00+00:00,323.47247
1979-08-30 00:00:00+00:00,312.85446
1979-08-31 00:00:00+00:00,305.13843
1979-09-01 00:00:00+00:00,300.5097
1979-09-02 00:00:00+00:00,299.16302
1979-09-03 00:00:00+00:00,297.8801
1979-09-04 00:00:00+00:00,290.70117
1979-09-05 00:00:00+00:00,280.70694
1979-09-06 00:00:00+00:00,273.09866
1979-09-07 00:00:00+00:00,269.2905
1979-09-08 00:00:00+00:00,269.80347
1979-09-09 00:00:00+00:00,278.0605
1979-09-10 00:00:00+00:00,290.53705
1979-09-11 00:00:00+00:00,297.65146
1979-09-12 00:00:00+00:00,294.5952
1979-09-13 00:00:00+00:00,283.49963
1979-09-14 00:00:00+00:00,273.1493
1979-09-15 00:00:00+00:00,264.13788
1979-09-16 00:00:00+00:00,256.51
1979-09-17 00:00:00+00:00,252.38406
1979-09-18 00:00:00+00:00,251.29689
1979-09-19 00:00:00+00:00,249.42114
1979-09-20 00:00:00+00:00,242.96861
1979-09-21 00:00:00+00:00,233.52612
1979-09-22 00:00:00+00:00,223.8411
1979-09-23 00:00:00+00:00,215.20909
1979-09-24 00:00:00+00:00,208.05879
1979-09-25 00:00:00+00:00,203.91391
1979-09-26 00:00:00+00:00,202.10265
1979-09-27 00:00:00+00:00,199.84946
1979-09-28 00:00:00+00:00,196.6655
1979-09-29 00:00:00+00:00,193.0386
1979-09-30 00:00:00+00:00,188.56209
1979-10-01 00:00:00+00:00,183.02405
1979-10-02 00:00:00+00:00,178.04588
1979-10-03 00:00:00+00:00,174.09395
1979-10-04 00:00:00+00:00,170.72896
