datetime,ensemble_01_m^3/s,ensemble_10_m^3/s,ensemble_11_m^3/s,ensemble_12_m^3/s,ensemble_13_m^3/s,ensemble_14_m^3/s,ensemble_15_m^3/s,ensemble_16_m^3/s,ensemble_17_m^3/s,ensemble_18_m^3/s,ensemble_19_m^3/s,ensemble_02_m^3/s,ensemble_20_m^3/s,ensemble_21_m^3/s,ensemble_22_m^3/s,ensemble_23_m^3/s,ensemble_24_m^3/s,ensemble_25_m^3/s,ensemble_26_m^3/s,ensemble_27_m^3/s,ensemble_28_m^3/s,ensemble_29_m^3/s,ensemble_03_m^3/s,ensemble_30_m^3/s,ensemble_31_m^3/s,ensemble_32_m^3/s,ensemble_33_m^3/s,ensemble_34_m^3/s,ensemble_35_m^3/s,ensemble_36_m^3/s,ensemble_37_m^3/s,ensemble_38_m^3/s,ensemble_39_m^3/s,ensemble_04_m^3/s,ensemble_40_m^3/s,ensemble_41_m^3/s,ensemble_42_m^3/s,ensemble_43_m^3/s,ensemble_44_m^3/s,ensemble_45_m^3/s,ensemble_46_m^3/s,ensemble_47_m^3/s,ensemble_48_m^3/s,ensemble_49_m^3/s,ensemble_05_m^3/s,ensemble_50_m^3/s,ensemble_51_m^3/s,ensemble_52_m^3/s,ensemble_06_m^3/s,ensemble_07_m^3/s,ensemble_08_m^3/s,ensemble_09_m^3/s
2024-02-12 15:00:00+00:00,6.2887745,5.7737255,6.2608743,6.312897,6.359594,6.850814,14.512452,6.261455,6.276364,6.443422,6.460395,6.2409725,6.3524427,6.43875,6.64251,6.2640996,6.4783707,6.3479724,12.356976,6.27692,6.953386,6.842804,6.450136,6.838512,6.2909346,6.532163,6.3127036,7.1710615,6.2513766,6.9964232,7.306182,11.602683,16.420343,6.249979,6.280037,6.271801,6.167117,6.311182,4.238546,6.2931085,7.5757675,6.2786756,6.3675613,6.2933555,6.2369914,6.254917,6.5847297,5.596836,6.9048414,6.2428827,6.561211,6.29812
2024-02-12 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.523876,,,,
2024-02-12 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6247215,,,,
2024-02-12 18:00:00+00:00,5.33006,5.9087787,5.312297,5.29621,5.3734593,10.580202,13.004837,5.2897058,5.3500023,5.697374,5.5663123,5.484472,5.693919,5.637459,5.651189,5.2606378,5.5721416,5.372894,13.244267,5.4642363,5.928769,6.5971494,5.579931,5.9475327,5.2890763,5.9633822,5.4180274,5.9344044,5.221676,5.810412,6.866335,11.10243,18.203995,5.230985,5.292981,5.265642,5.496876,5.3837743,9.690826,5.3068786,8.633651,5.4045863,5.3372927,5.3059416,6.6738205,5.25212,6.710042,5.4450116,4.4199038,5.234474,5.768666,5.315144
2024-02-12 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1787744,,,,
2024-02-12 20:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9046474,,,,
2024-02-12 21:00:00+00:00,4.3843126,5.642839,4.43945,4.3246284,4.406238,12.732863,10.30248,4.5133247,4.455993,4.7444353,4.694642,4.886298,4.3156886,4.6324024,4.7175074,4.313128,4.7899747,4.380759,12.952215,4.6997957,4.9506135,5.389166,4.796161,5.150391,4.3046284,5.3952265,4.6172156,4.947664,4.231491,4.775371,6.086828,9.849178,17.898464,4.2988687,4.305705,4.257978,4.776593,4.448019,13.116328,4.348252,9.19906,4.4899697,4.3241153,4.453465,7.0346184,4.4299464,6.0502295,4.6324697,6.810335,4.251556,5.004427,4.3318043
2024-02-12 22:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3720965,,,,
2024-02-12 23:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1303706,,,,
2024-02-13 00:00:00+00:00,3.5465925,5.08724,3.682469,2.3285553,5.7692866,11.3562765,11.456446,3.6945326,3.6319742,4.066945,4.0199757,4.36226,2.7212288,3.8559656,3.8608944,3.5785952,4.030541,3.523382,11.923613,4.140113,7.6714015,5.022995,4.2031593,4.4928126,3.445019,4.8077464,4.0848045,4.641083,3.4010613,3.9427497,5.224628,8.346733,16.262758,3.5157845,3.5783026,3.355424,4.0890837,3.643252,10.144808,3.4996521,9.847463,3.8222277,3.4734583,4.5790334,25.215618,3.6822474,5.1375,3.892954,8.291767,3.3988478,4.2582145,3.5154605
